TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Drip Score,Core,Drip Grade,Number,Face Decoration,Hat,Glasses,Necklace,Earring,NUM_TRAITS,RARITY_SCORE,Rank
7863,Milady 7863,3950.6326599326603,5253.359749272443,4841.002166064983,4025.172898799314,9098.287486672481,9831.067448680351,2166.328917609047,3845.7486070140935,4360.837723577236,7474.6800445930885,9689.0,994.1540579756193,11302.472245635157,17204.368035190615,886.6086595133745,833.9510825626127,4107.0676875957115,99864.73947068879,8312
1460,Milady 1460,3961.302835921675,5253.359749272443,4878.743866943868,25731.094298245614,8901.567757230916,9203.552505147563,2166.328917609047,4698.04964964965,4360.837723577236,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,833.9510825626127,11490.639245929735,99840.11048937439,8313
6373,Milady 6373,3950.6326599326603,5253.359749272443,4878.743866943868,4025.172898799314,16803.979949874687,8751.354838709678,2166.328917609047,3845.7486070140935,7594.420064724919,7474.6800445930885,9689.0,994.1540579756193,17594.570196813493,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99839.60513310556,8314
5069,Milady 5069,4276.0127551020405,5571.405033238366,4841.002166064983,4731.20120967742,6804.917500362476,9643.21265666735,2166.328917609047,4491.675375634032,15413.305747126436,5214.8351111111115,9689.0,994.1540579756193,19176.104596527068,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99830.6144079386,8315
4325,Milady 4325,3961.302835921675,15947.507985049271,4906.797281756404,4731.20120967742,8998.852650752564,8776.721084618981,2166.328917609047,4491.675375634032,4360.837723577236,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,19438.192586456822,886.6086595133745,833.9510825626127,3975.563593240439,99828.27923861431,8316
9517,Milady 9517,3961.302835921675,5571.405033238366,18550.796837944665,4025.172898799314,10041.402652973899,7439.726717920267,2166.328917609047,4491.675375634032,7735.231314379893,5214.8351111111115,9689.0,994.1540579756193,13128.256223776221,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99826.74725812675,8317
9044,Milady 9044,4196.487482117311,5253.359749272443,18191.285271317833,4091.136331938633,7037.564252511622,8905.790512333966,2166.328917609047,4685.38644304682,7594.420064724919,5214.8351111111115,9689.0,994.1540579756193,14970.818500797448,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99808.02597559942,8318
7972,Milady 7972,4196.487482117311,6338.940572663425,7533.469662921348,4091.136331938633,7659.488535291718,7704.755150619716,2166.328917609047,7242.826543209876,4360.837723577236,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,26168.67354335099,3975.563593240439,99799.1909138238,8319
2960,Milady 2960,3961.302835921675,15947.507985049271,4841.002166064983,4091.136331938633,7067.768390934418,9831.067448680351,2166.328917609047,4491.675375634032,8137.584048547897,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,17204.368035190615,886.6086595133745,833.9510825626127,3975.563593240439,99788.6031231318,8320
6914,Milady 6914,3950.6326599326603,5571.405033238366,7533.469662921348,4731.20120967742,11933.261123824053,8031.747411653975,2166.328917609047,4775.490028490029,4360.837723577236,11032.796426892337,9689.0,994.1540579756193,18156.09903288201,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99743.88256951676,8321
4960,Milady 4960,4276.0127551020405,5253.359749272443,4906.797281756404,4025.172898799314,7319.066822612086,8250.596114968797,2166.328917609047,8317.121389331915,15413.305747126436,5214.8351111111115,9689.0,994.1540579756193,17066.73309090909,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99709.94321741695,8322
7802,Milady 7802,3961.302835921675,5571.405033238366,4841.002166064983,4091.136331938633,8901.567757230916,10264.300929469655,2166.328917609047,3754.380929525638,17777.84696969697,5214.8351111111115,9689.0,994.1540579756193,15657.553294412008,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99702.27361503725,8323
5801,Milady 5801,22477.73754789272,5253.359749272443,4906.797281756404,4025.172898799314,7659.488535291718,8031.747411653975,2166.328917609047,3754.380929525638,4360.837723577236,5214.8351111111115,9689.0,994.1540579756193,14341.792513368982,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99693.09195867686,8324
231,Milady 231,4196.487482117311,5253.359749272443,18550.796837944665,4025.172898799314,8901.567757230916,10264.300929469655,2166.328917609047,4491.675375634032,7594.420064724919,5214.8351111111115,9689.0,994.1540579756193,11531.576412776414,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99691.13487550808,8325
9648,Milady 9648,4276.0127551020405,5571.405033238366,4841.002166064983,4025.172898799314,7554.08272976018,7885.335349462366,2166.328917609047,19101.960113960115,10175.288021680217,5214.8351111111115,9689.0,994.1540579756193,11377.82206060606,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99689.85849621207,8326
9444,Milady 9444,10383.521238938054,5253.359749272443,4841.002166064983,4025.172898799314,12765.814225486196,7439.726717920267,2166.328917609047,3628.9736333410656,8137.584048547897,8308.287484510534,9689.0,994.1540579756193,15238.154545454547,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99688.53896476261,8327
1425,Milady 1425,4196.487482117311,6338.940572663425,4878.743866943868,4091.136331938633,12198.444704353476,7367.320618475787,2166.328917609047,3923.878939887969,17777.84696969697,8308.287484510534,9689.0,994.1540579756193,10940.213519813518,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99688.24274682881,8328
2880,Milady 2880,3961.302835921675,6338.940572663425,7533.469662921348,4091.136331938633,7319.066822612086,7824.208718846379,2166.328917609047,4698.04964964965,17777.84696969697,5214.8351111111115,9689.0,994.1540579756193,15238.154545454547,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99663.95347724312,8329
1789,Milady 1789,8943.12423780488,5253.359749272443,4906.797281756404,4731.20120967742,6804.917500362476,9551.951969064823,2166.328917609047,4698.04964964965,14222.277575757575,5214.8351111111115,9689.0,994.1540579756193,15657.553294412008,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99651.00983529609,8330
8658,Milady 8658,4196.487482117311,5571.405033238366,7533.469662921348,4091.136331938633,12289.477873788948,7864.853958944282,2166.328917609047,4491.675375634032,17777.84696969697,5214.8351111111115,9689.0,994.1540579756193,10940.213519813518,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99638.34357563184,8331
2306,Milady 2306,3961.302835921675,5571.405033238366,7533.469662921348,4731.20120967742,7037.564252511622,7367.320618475787,2166.328917609047,12241.396974439229,13574.408098336948,5214.8351111111115,9689.0,994.1540579756193,12736.367978290364,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99636.21403135119,8332
751,Milady 751,9386.7032,5253.359749272443,4878.743866943868,4091.136331938633,9098.287486672481,9345.58263639984,2166.328917609047,3628.9736333410656,10175.288021680217,8308.287484510534,9689.0,994.1540579756193,15802.53063973064,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99635.83530691704,8333
9461,Milady 9461,4276.0127551020405,5571.405033238366,7533.469662921348,4091.136331938633,9356.761562998405,7864.853958944282,2166.328917609047,7334.507891858104,17777.84696969697,5214.8351111111115,9689.0,994.1540579756193,10940.213519813518,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99627.98505405009,8334
7962,Milady 7962,9386.7032,5571.405033238366,4878.743866943868,4025.172898799314,9148.833528265108,7885.335349462366,2166.328917609047,17737.53439153439,8137.584048547897,5214.8351111111115,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,886.6086595133745,833.9510825626127,11490.639245929735,99622.91442017675,8335
2527,Milady 2527,3950.6326599326603,6338.940572663425,4878.743866943868,4025.172898799314,6804.917500362476,9736.234000622342,2166.328917609047,6014.804049724466,20251.786839266453,5214.8351111111115,9689.0,994.1540579756193,12736.367978290364,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99619.3777341438,8336
571,Milady 571,3950.6326599326603,5253.359749272443,4841.002166064983,4731.20120967742,7485.409250398724,7885.335349462366,2166.328917609047,19101.960113960115,10175.288021680217,5214.8351111111115,9689.0,994.1540579756193,11302.472245635157,1121.3359455262214,886.6086595133745,833.9510825626127,3975.563593240439,99608.4381336225,8337
